# The fit parameters to the track data using the 2 point method
# tau (ms), mu (m/s), umu (m/s), std (m/s), ustd (m/s), reduced chi 2
0.08, -0.05519838100709433, 0.16978292514150833, 3.9471473720209604, 0.10142933750355398, 0.2699178164797164
0.09, 0.08753853798449877, 0.09312877198850135, 3.0233841147419125, 0.05633533220436807, 0.14534917820848536
0.10, 0.06262941947301882, 0.09215681270433637, 3.554047094198004, 0.06257912287417687, 0.0817523061452235
0.20, 0.00438032404430695, 0.04771127833749293, 0.8684633096792125, 0.025139056948038203, 0.3776870282441575
0.30, 0.02334989391571456, 0.01723425985734614, 0.5358053504409507, 0.010113681542963205, 0.1304253936818669
0.40, 0.022134798905651287, 0.01751073154747435, 0.3861943655671681, 0.00973914247665093, 0.2694047731319877
0.50, 0.005039541071586293, 0.0102013914991717, 0.24550190293720137, 0.006542175955525394, 0.1875136598799591
0.60, 0.011589430821824082, 0.008274031695510683, 0.14730201983266575, 0.00466529859512045, 0.28522927057764985
0.70, -0.00093650203003936, 0.0060387970263523025, 0.1440778178380484, 0.0036625911159868995, 0.1958494561836018
0.80, -0.0029631993302338287, 0.0060954837563938396, 0.10086111030985044, 0.0038126499627611013, 0.31244483350451263
0.90, -0.00017592744650785788, 0.0034222114408912793, 0.08814222912711923, 0.0023625576688926305, 0.16562351672790585
1.00, 0.012913775724433078, 0.004269028233177354, 0.07272807442252491, 0.002774840298430948, 0.3430586274397363
1.10, -0.004114376370561485, 0.003144004444991621, 0.06420314967222271, 0.001987969352461485, 0.2550702902144303
1.20, -0.0031215580357510987, 0.0027962873247455926, 0.06580926364913024, 0.0018520070111700169, 0.18000076816164234
