# The fit parameters to the track data using the 6 point method
# tau (ms), mu (m/s), umu (m/s), std (m/s), ustd (m/s), reduced chi 2
0.08, -0.007657658209189846, 0.03483730753106614, 1.0492195211673645, 0.015174044183315222, 0.06030052376024695
0.09, 0.027873045496656614, 0.023506062770096692, 0.8097806632467225, 0.010219782156555599, 0.05835194458284952
0.10, 0.024942490087328493, 0.03363048429322415, 1.0263298946806596, 0.01605288233883998, 0.08190525661660461
0.20, 0.024873750043794142, 0.0033878881123358814, 0.2699707091465386, 0.0015260266794465942, 0.005657757839356244
0.30, -0.002757075965794529, 0.005238917943071468, 0.1580144525846219, 0.0021668630049977624, 0.05903656757084538
0.40, -0.005192309698447439, 0.001896983487762597, 0.12703464280108578, 0.0008364385136208552, 0.012885971024648718
0.50, 0.0005194727518491578, 0.0017126739297137288, 0.08589825801120077, 0.0008269343392243462, 0.02292835514740703
0.60, -0.01181893304660612, 0.002045787775397866, 0.05827409253737738, 0.0009625805753983377, 0.043577625163443316
0.70, 0.0030036861193839903, 0.0006847715805988036, 0.05164512882045534, 0.00032983765753636664, 0.008942295001568555
0.80, -0.0033308905418786786, 0.0016512828836653935, 0.04773836858460084, 0.0007982210702383068, 0.06817442548508204
0.90, -0.004082284727743548, 0.0012387548290915035, 0.03915923377027349, 0.0007001248166946797, 0.03322290560787986
1.00, 0.007802970359170033, 0.0010065863148972936, 0.036150747504073696, 0.0005930781968963754, 0.042348088027912636
1.10, -0.006144921675978478, 0.0010067247780747063, 0.034118804238428065, 0.0005559950480224862, 0.054073973520269186
1.20, -0.003940736420244188, 0.0009189264217451021, 0.03193105734981937, 0.0005026335489804264, 0.029171943971998533
