# The fit parameters to the track data using the 6 point method
# tau (ms), mu (m/s), umu (m/s), std (m/s), ustd (m/s), reduced chi 2
0.08, 0.5706374286977648, 0.4219368399890932, 9.780187213019904, 0.19885959512265203, 0.2857417697983095
0.09, -0.06995385466719199, 0.14162628086301807, 6.949773968408275, 0.06191071123418439, 0.04418350003797094
0.10, -0.04986117471258363, 0.09194616435858932, 6.089797320632486, 0.041258809462728634, 0.022898750332819195
0.20, -0.6601785404682949, 0.09112381484181, 2.7347308459852675, 0.03836392130946393, 0.08013576737332202
0.30, -0.028440523930901185, 0.04981004721506554, 2.0893538036923154, 0.02341470958229845, 0.05011331159865989
0.40, -0.020585691335356378, 0.0486165804075242, 1.6419866352198387, 0.025623918756147508, 0.06710069104964535
0.50, 0.18933865426217675, 0.029009071995277424, 1.2777999520129386, 0.015068151822982009, 0.03554569987794514
0.60, 0.04891251567755291, 0.022003657988180818, 1.0353401108579856, 0.013479763632771587, 0.024032720429663194
0.70, -0.05871722802161998, 0.032183180790263444, 0.7670417091677483, 0.016676398463575097, 0.09634251208270915
0.80, -0.2574899481491286, 0.018596785400239894, 0.7323602918303944, 0.010866163473359338, 0.04033978497043171
0.90, 0.23723606533307398, 0.026451208528658114, 0.6613807127699494, 0.016704166044181828, 0.09639157373840124
1.00, 0.17637255776203803, 0.023874531367856663, 0.6945267157694779, 0.014718367497083325, 0.07021039470109627
1.10, 0.07175499135778271, 0.02882349623028621, 0.6696123504150185, 0.018989568825420692, 0.09515008229896495
1.20, 0.038124437309779026, 0.011665856335532682, 0.47466450004132876, 0.008698770185975818, 0.02401895172734991
