# The fit parameters to the true data
# tau (ms), mu (m/s), umu (m/s), std (m/s), ustd (m/s), reduced chi 2
0.08, 0.038355979802499746, 0.004492535931095022, 0.6559547624906544, 0.0016100723772069607, 0.002418486453373777
0.09, 0.031033876438524163, 0.004351972029085682, 0.5726988782472018, 0.0016448711654141212, 0.0031531281649267795
0.10, -0.03334163060703211, 0.0068265453887276185, 0.5228385433137692, 0.0027875341031430357, 0.007909384486086402
0.20, 0.03723129199024104, 0.0058422777709863745, 0.24127276085884478, 0.0022139241950725644, 0.027115956293332237
0.30, 0.023648383576120997, 0.0041621881334137035, 0.15488244956226366, 0.001625685490118036, 0.041587838240213316
0.40, 0.004660060146366763, 0.002615049426998049, 0.12923540326029567, 0.0013281590909267154, 0.018809437079984066
0.50, -0.0020072823071276705, 0.0015274419534760477, 0.10042988702262921, 0.0007115838809019178, 0.01416400117991448
0.60, -0.00904028372939827, 0.0032227557186039367, 0.07522897337851568, 0.0014563319063483342, 0.0933130232389766
0.70, -0.007860481321183275, 0.0016347977935010523, 0.0655860698532035, 0.0008677934882791547, 0.03048855102365297
0.80, 0.0016505955746276382, 0.001934171214595244, 0.06478997761160782, 0.0010392582293542575, 0.06505069676182952
0.90, -0.00039615859703126126, 0.0011695129267607276, 0.05611637651835459, 0.0007165317898434296, 0.029054170078842298
1.00, 0.0027318706798907318, 0.001621832177150098, 0.04980068819477925, 0.0010198380852728867, 0.06769881759488736
1.10, -0.004784281525672277, 0.0013934209431497786, 0.05258606427270932, 0.0009644291669484449, 0.02622496884653593
1.20, 0.005147649436202529, 0.0016698022417555368, 0.045818964567004426, 0.001114917875924437, 0.08183127123346555
